title,creator,date,aprox,description,subjects,location,region,latitude,longitude,orig-id,source,format,type,link,object-id
"Hercules Mine, Burke (Idaho)","Barnard Studio (Wallace, Idaho)",1915,yes,"A distant view of Hercules Mine in Burke, Idaho.",mines (extracting complexes)mine buildingsiron minessilver mines,United States--Idaho--Shoshone County--Burke,Burke,47.542337,-115.808902,PG 8-X001a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/0,0
"Little Pittsburg, Kellogg (Idaho)","Barnard Studio (Wallace, Idaho)",1910,yes,A snow covered setting with the sun shining through the trees shows the road that leads to Beebe Bros. Mine.,mines (extracting complexes)silver mines,United States--Idaho--Shoshone County--Kellogg,Masonia,47.479804,-116.199539,PG 8-X004d,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1,1
"Certificate of Citizenship for Joseph Abicor, 1913 [1]","Barnard Studio (Wallace, Idaho)",1913,yes,Image is a copy of the citizenship certificate for Joseph Arbicor.,,United States--Idaho--Shoshone County,,47.474095,-115.927939,PG 8-X084a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/2,2
"Certificate of Citizenship for Joseph Abicor, 1913 [2]","Barnard Studio (Wallace, Idaho)",1913,yes,Image is a copy of the citizenship certificate for Joseph Arbicor.,,United States--Colorado--Lake County,,47.474055,-115.927949,PG 8-X084b,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/3,3
"Frisco Mill-Explosion, Gem (Idaho), 1892 [1]","Barnard Studio (Wallace, Idaho)",1892-07-11,,"View of the Frisco Mill-Explosion in Gem, Idaho after dynamite explosion set by Union Strikers.",buildings (structures)mills (buildings)railroadsexplosions,United States--Idaho--Shoshone County--Gem,Burke,47.507922,-115.869847,PG 8-X085,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/4,4
"Frisco Mill-Explosion, Gem (Idaho), 1892 [2]","Barnard Studio (Wallace, Idaho)",1892-07-11,,"View of the Frisco Mill-Explosion in Gem, Idaho after dynamite explosion set by Union Strikers.",buildings (structures)mills (buildings)railroadsexplosions,United States--Idaho--Shoshone County--Gem,Burke,47.507932,-115.869857,PG 8-X086,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/5,5
"Wallace (Idaho), Forest fire of 1910, Coeur d&apos;Alene Hardware Warehouse","Barnard Studio (Wallace, Idaho)",8/20/1910,,"Image shows the debris from the Coeur d&apos;Alene Hardware Warehouse on September 3, 1910 after the fire on August 20, 1910 swept went through Wallace, Idaho.",firesgroups of peoplerailroadsbusiness (commercial function),United States--Idaho--Shoshone County--Wallace,Wallace,47.471576,-115.923782,PG 8-X087,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/6,6
"Wallace (Idaho), Wallace National Bank building, 1912","Barnard Studio (Wallace, Idaho)",8/19/1912,,"Exterior view of the Wallace National Bank in Wallace, Idaho on the corner of 6th and Cedar. Caption on front: &quot;&quot;6th and Cedar&quot;&quot;",banks (financial institutions)buildings (structures)groups of peopleautomobilesbusiness (commercial function),United States--Idaho--Shoshone County--Wallace,Wallace,47.474095,-115.927939,PG 8-X048,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/7,7
"Wallace (Idaho), Forest fire of 1910, Coeur d&apos;Alene Hardware Warehouse","Barnard Studio (Wallace, Idaho)",8/20/1910,,"Image shows the debris from the Coeur d&apos;Alene Hardware Warehouse on September 3, 1910 after the fire on August 20, 1910 swept went through Wallace, Idaho.",firesbusiness (commercial function),United States--Idaho--Shoshone County--Wallace,Wallace,47.471586,-115.923772,PG 8-X088,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/8,8
"Wallace (Idaho), Forest fire of 1910, Brewery","Barnard Studio (Wallace, Idaho)",8/20/1910,,"Image shows the brewery in Wallace, Idaho after the fire of August 20, 1910.",firesbuildings (structures)business (commercial function),United States--Idaho--Shoshone County--Wallace,Wallace,47.471615,-115.922218,PG 8-X089a,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/sp",8x10 black and white glass negative,image;stillimage,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/9,9
