title,creator,description,date,subjects,origin,destination,location,source,format,type,rights,language,object-id
"Telegram from Frederick Burbidge to F.W. Bradley, July 1899","Burbidge, Frederick",Burbidge informs Bradley of Bunker Hill's annual tax assessments; handwritten.,1899-07-01,taxes,United States--Idaho--Shoshone County--Wardner,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,0
"Letter from Frederick Burbidge to F.W. Bradley, July 14, 1899","Burbidge, Frederick",Burbidge reports on the status of several ore contracts.,1899-07-14,contracts; ore deposits,United States--Idaho--Shoshone County--Wardner,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,1
"Telegram from F.W. Bradley to Alex Granger, June 08, 1899","Bradley, F.W.",A telegram concerning proxies and uncertainty of travel plans.,1899-06-08,proxies; travel,United States--Washington--Spokane County--Spokane,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,2
"Letter from Frederick Burbidge to F.W. Bradley, June 23, 1899","Burbidge, Frederick",Burbidge explains his recent telegram.,1899-06-23,travel,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,3
"Letter from Frederick Burbidge to Alexander Granger, June 23, 1899","Burbidge, Frederick",Burbidge requests that Granger bill American Smelting & Refining Co. Globe Plant.,1899-06-23,invoices,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,4
"Letter from Frederick Burbidge to F.W. Bradley, June 24, 1899","Burbidge, Frederick",Burbidge explains where crude ore will be shipped.,1899-06-24,ore; freight,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,5
"Letter from Frederick Burbidge to F.W. Bradley, June 25, 1899 [01]","Burbidge, Frederick",Burbidge informs Bradley on a restraining order.,1899-06-25,legal disputes; travel,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,6
"Letter from Frederick Burbidge to F.W. Bradley, June 25, 1899 [02]","Burbidge, Frederick",Burbidge informs Bradley on the status of construction.,1899-06-25,construction,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,7
"Letter from F.W. Bradley to Granger, June 18, 1899","Bradley, F.W.",Bradley tells Granger of his travel plans; handwritten.,1899-06-18,travel,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,8
"Letter from Frederick Burbidge to F.W. Bradley, June 26, 1899 [01]","Burbidge, Frederick","Burbidge informs on the status and location of a mine; handwritten, 2 pages.",1899-06-26,mining claims; land use,United States--Idaho--Shoshone County--Kellogg,United States--California--San Francisco County--San Francisco,Coeur d'Alene Mining District (Idaho),"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328",application/pdf,text,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",eng,9
