title,description,creator,date,subject,source,orig-id,rights,type,format,object-d
Five unidentified men [01],Portrait of five unidentified men.,"Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 001","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,314
Group posing in front of a castle,A man and two women pose by the water with a castle in the background.,"Iddings, John Edward",1927,Castles;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 002","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,315
Eiffel Tower,"A photograph of the Eiffel Tower in Paris, France.","Iddings, John Edward",1927,"Eiffel Tower (Paris, France);; ","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 003","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,316
Five unidentified men [02],"A portrait of five unidentified men, standing in orde from tallest to shortest","Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 004","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,317
Bathing huts,"Bathing huts are moved to and from the waters edge via carts on a beach. People can be seen along the left side of the image, looking at the water.","Iddings, John Edward",1927,,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 005","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,318
"Pont du Gard, France","Pont du Gard, France.","Iddings, John Edward",1927,"Pont du Gard (France); Aqueducts -- France;; Roman aqueduct, aqueducts","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 006","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,319
Maud Iddings in a gondola,"Maud Iddings sitting in a gondola with gondolier standing up behind her in Venice, Italy.","Iddings, John Edward",1927,"Venice (Italy); Gondolas;; gondolas, transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 007","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,320
Dam,A dam or aqueduct structure in an unknown location.,"Iddings, John Edward",1927,Dams;; aqueducts,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 008","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,321
Small private island,Small private island with building and vegetation.,"Iddings, John Edward",1927,Islands -- India;; ,"MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 013","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,322
Cruise ship,A large ocean liner at sea.,"Iddings, John Edward",1927,"Cruise ships;; transport, transportation","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives,http://archiveswest.orbiscascade.org/ark:/80444/xv78979/op=fstyle.aspx?t=k&q=john+edward+iddings","MG 76, Box 2, Slide 014","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/",Image;StillImage,image/jpg,323
