title,creator,date,description,subjects,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement,object-id
"William Delbert Barkhuff, ca. 1892","Barkhuff, William Delbert",1892,A portrait of William Delbert Barkhuff.,"Barkhuff, William Delbert",North and Central America--United States--Washington (state)--Whitman county--Pullman,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f01n01,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,0
Power Plant Building,"Barkhuff, William Delbert",1905-03-06,Power Plant building during winter.,Power plants--Washington (State)--Pullman; Winter--Washington (State)--Pullman; Snow--Washington (State)--Pullman; Walkways--Washington (State)--Pullman; Buildings--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,46.731109,-117.169206,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f01n02,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,4
Engine Room ca. 1899,"Barkhuff, William Delbert",1899,"The engine room ca. 1899 with Matthew Sillman &quot;engineer&quot; in the foreground. The room was once located in the SE corner of the old Mechanical Engineering, WSU Building 22. A figure is visible exiting                         the arched entrance. Prof. A. R. Saunders designed the building and oversaw construction (his                         only compensation for the latter task was permission to live in the building rent free).",Engine rooms--Washington (State)--Pullman; Men--Washington (State)--Pullman; Power plants--Washington (State)--Pullman; Engineers--Washington (State)--Pullman; Mechanical Engineering,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f01n03,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,5
"Class Portrait, 1893","Barkhuff, William Delbert",1905-03-07,A class portrait with Barkhuff (the tallest man) standing in the back row.,Clothing &amp; dress--Washington (State)--Pullman; Men--Washington (State)--Pullman; Women--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f01n04,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,6
W.A.C. Class of 1898,"Barkhuff, William Delbert",1905-03-12,Group portrait of the W.A.C class of 1898. Barkhuff is seated in the middle row second to the right.,Decorations--Washington (State)--Pullman; Clothing &amp; dress--Washington (State)--Pullman; Men--Washington (State)--Pullman; Women--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f01n05,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,7
Photographic prints; Glass negatives,"Barkhuff, William Delbert",1896,"Engineering class with their surveying equipment in front of the Administration Building, later Thompson Hall.",Men--Washington (State)--Pullman; Engineers--Washington (State)--Pullman; Students--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Thompson Hall--Washington (State)--Pullman; Washington State University--Washington (State)--Pullman; Administration Building--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f01n06,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,8
Mechanical Hall,"Barkhuff, William Delbert",1905-03-06,Inside Mechanical Hall,Mechanical works--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f01n08,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,9
Mechanical Laboratory Wood Room 1898,"Barkhuff, William Delbert",1905-03-12,An interior view of students working with early power tools in the old Mechanical Engineering Building.,Woodworking--Washington (State)--Pullman; Employees--Washington (State)--Pullman; Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f01n07,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,10
Looking from Campus on Pullman,"Barkhuff, William Delbert",1905-03-06,A photograph looking west over Pullman.,Hills--Washington (State)--Pullman; Buildings--Washington (State)--Pullman; Valleys--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f01n09,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,11
"Cave Family Residence, Pullman","Barkhuff, William Delbert",1905-03-06,"Cave family residence, Pullman. The Klemgard home at Reaney Park is the one with the union dome. Reaney Way  St is at base of hill below Thompson Hall",Houses--Washington (State)--Pullman; Men--Washington (State)--Pullman,North and Central America--United States--Washington (state)--Whitman county--Pullman--Washington State University,,,"Is found in PC 7, William Delbert Barkhuff Photographs http://libraries.wsu.edu/masc/finders/pc7.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",pc007f02n01,image,image/jpg,English,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 1959 death of the author.,12
